start_time,stop_time,animal_response,rewarded_historyL,rewarded_historyR,delay_start_time,goCue_start_time,reward_outcome_time,bait_left,bait_right,base_reward_probability_sum,reward_probabilityL,reward_probabilityR,reward_random_number_left,reward_random_number_right,left_valve_open_time,right_valve_open_time,block_beta,block_min,block_max,min_reward_each_block,delay_beta,delay_min,delay_max,delay_duration,ITI_beta,ITI_min,ITI_max,ITI_duration,response_duration,reward_consumption_duration,reward_delay,auto_waterL,auto_waterR,laser_on_trial,laser_wavelength,laser_location,laser_1_power,laser_2_power,laser_on_probability,laser_duration,laser_condition,laser_condition_probability,laser_start,laser_start_offset,laser_end,laser_end_offset,laser_protocol,laser_frequency,laser_rampingdown,laser_pulse_duration,session_wide_control,fraction_of_session,session_start_with,session_alternation,minimum_opto_interval,auto_train_engaged,auto_train_curriculum_name,auto_train_curriculum_version,auto_train_curriculum_schema_version,auto_train_stage,auto_train_stage_overridden,lickspout_position_x,lickspout_position_y,lickspout_position_z,reward_size_left,reward_size_right
6576245.537504,6576252.64848,1.0,False,False,6576248.481504,6576250.484384,6576250.644,True,False,0.45,0.39999999999999997,0.049999999999999996,0.46407705817904166,0.17282806859449817,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,2.9413300826470508,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.0,14390.5,9580.0,3.0,3.0
6576252.654496,6576263.715488,1.0,False,False,6576259.531488,6576261.5352,6576261.704992,True,False,0.45,0.39999999999999997,0.049999999999999996,0.6454157211057652,0.39794754321166625,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,6.87460411761602,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.0,14391.0,9579.5,3.0,3.0
6576263.721504,6576269.965504,1.0,False,False,6576265.748512,6576267.751136,6576267.96,True,False,0.45,0.39999999999999997,0.049999999999999996,0.08855764661160426,0.6984840985595661,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,2.0167991800867098,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4651.5,14391.0,9580.0,3.0,3.0
6576269.97248,6576277.998496,1.0,False,False,6576273.637504,6576275.63536,6576275.988,True,False,0.45,0.39999999999999997,0.049999999999999996,0.3573382393033179,0.08387309112867058,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,3.6643809191907604,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.0,14390.5,9580.0,3.0,3.0
6576278.004512,6576292.182496,1.0,False,False,6576287.981504,6576289.983168,6576290.170976,True,False,0.45,0.39999999999999997,0.049999999999999996,0.039780416660891604,0.6308768705257647,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,9.98288390092532,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.0,14390.5,9580.0,3.0,3.0
6576292.18848,6576309.23248,1.0,False,False,6576295.081504,6576307.000256,6576307.217984,True,False,0.45,0.39999999999999997,0.049999999999999996,0.011770552867230277,0.868876778649635,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,2.8974092656979282,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.0,14391.0,9580.0,3.0,3.0
6576309.238496,6576315.531488,1.0,False,False,6576311.34848,6576313.3512,6576313.514976,True,False,0.45,0.39999999999999997,0.049999999999999996,0.5964855255441753,0.4102554308270985,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,2.1111146546484996,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.0,14391.0,9580.0,3.0,3.0
6576315.537504,6576322.431488,1.0,False,False,6576318.265504,6576320.268096,6576320.426976,True,False,0.45,0.39999999999999997,0.049999999999999996,0.3486971560431138,0.9558965993377563,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,2.7326876324149425,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4651.5,14390.5,9580.0,3.0,3.0
6576322.437504,6576331.815488,1.0,False,False,6576327.615488,6576329.618304,6576329.804,True,False,0.45,0.39999999999999997,0.049999999999999996,0.3044817314934126,0.8647425598033451,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,5.175287234757616,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4651.5,14391.0,9580.0,3.0,3.0
6576331.822496,6576338.44848,1.0,False,False,6576334.24848,6576336.251232,6576336.440992,True,False,0.45,0.049999999999999996,0.39999999999999997,0.8011422055791316,0.9175791326041682,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,2.420981293525757,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.0,14390.5,9580.0,3.0,3.0
6576338.45552,6576345.815488,1.0,False,False,6576341.44848,6576343.451136,6576343.810976,True,False,0.45,0.049999999999999996,0.39999999999999997,0.592711856497568,0.47286564849281376,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,2.992947862000525,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.5,14390.5,9579.5,3.0,3.0
6576345.821504,6576352.881504,1.0,False,True,6576348.515488,6576350.517408,6576350.874976,True,True,0.45,0.049999999999999996,0.39999999999999997,0.14295868821767155,0.30450262059948563,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,2.6924104639944275,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.0,14390.5,9580.0,3.0,3.0
6576352.887488,6576359.598496,1.0,False,False,6576355.450496,6576357.450272,6576357.594976,True,False,0.45,0.049999999999999996,0.39999999999999997,0.4295310588780007,0.5727686017257453,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,2.5656246324008567,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.0,14391.0,9580.0,3.0,3.0
6576359.60448,6576368.165504,1.0,False,False,6576364.01552,6576366.017152,6576366.149984,True,False,0.45,0.049999999999999996,0.39999999999999997,0.157661229067093,0.6358093877538561,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,4.410127030977607,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.0,14390.5,9580.0,3.0,3.0
6576368.173504,6576374.915488,1.0,False,True,6576370.749504,6576372.751424,6576372.908992,True,True,0.45,0.049999999999999996,0.39999999999999997,0.19340335283934185,0.2128786954929761,0.053,0.057,20.0,20.0,60.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,10.0,2.573826661354816,1.0,2.0,0.0,0,0,0,,None,,,,,None,,None,,None,,None,,,,off,0.5,on,on,0.0,False,None,None,None,None,,4652.0,14391.0,9579.5,3.0,3.0
